id,sku,category,manufacturer,uom,base_material_cost,base_labor_minutes,active,install_labor_family,violation_flags
ghent-m1-46-4,GHENT-M1-46-4,Visual Display,Ghent,EA,690,50,1,,missing_install_labor_family;
ghent-m1-48-4,GHENT-M1-48-4,Visual Display,Ghent,EA,831,60,1,,missing_install_labor_family;
ghent-mobile-m4-46,GHENT-MOBILE-M4-46,Visual Display,Ghent,EA,950,45,1,,missing_install_labor_family;
ghent-sliding-wb,GHENT-SLIDING-WB,Visual Display,Ghent,EA,2500,285,1,,missing_install_labor_family;
ghent-wk48,GHENT-WK48,Visual Display,Ghent,EA,340,55,1,,missing_install_labor_family;
global-slatted-36ash,GLOBAL-SLATTED-36ASH,Waste & Recycling Receptacles,Global Industrial,EA,650,45,1,,missing_install_labor_family;
ideal-6in-cover,IDEAL-6IN-COVER,Bollards,Ideal Shield,EA,85,15,1,,missing_install_labor_family;
ideal-6in-rem-galv,IDEAL-6IN-REM-GALV,Bollards,Ideal Shield,EA,525,135,1,,missing_install_labor_family;
ideal-metro-6in-cover,IDEAL-METRO-6IN-COVER,Bollards,Ideal Shield,EA,165,20,1,,missing_install_labor_family;
inpro-4118-4,INPRO-4118-4,Wall Protection,Inpro,EA,25,15,1,,missing_install_labor_family;
inpro-834-8,INPRO-834-8,Wall Protection,Inpro,EA,45,25,1,,missing_install_labor_family;
inpro-cg-160,INPRO-CG-160,Wall Protection,Inpro,EA,68,30,1,,missing_install_labor_family;
inpro-chairrail,INPRO-CHAIRRAIL,Wall Protection,Inpro,LF,20,8,1,,missing_install_labor_family;
inpro-cr-1500,INPRO-CR-1500,Wall Protection,Inpro,LF,40,12,1,,missing_install_labor_family;
inpro-cr-4,INPRO-CR-4,Wall Protection,Inpro,LF,28,10,1,,missing_install_labor_family;
halyard-kit-100,HALYARD-KIT-100,Flags / Flagpoles,Generic,EA,19.99,20,1,,missing_install_labor_family;
halyard-kit-50,HALYARD-KIT-50,Flags / Flagpoles,Generic,EA,54.82,20,1,,missing_install_labor_family;
inpro-hr,INPRO-HR,Wall Protection,Inpro,LF,58,16,1,,missing_install_labor_family;
